iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8968012145921294,2.9209262763752655,0.0900735294117647,82.02016758918762,False,,,1,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-05-13,1676297113,82.02016758918762,42844,ML-RefVm-847530,10.0.0.13,82.02016758918762,0,1,0.0054895877838134766
0,2.7846199998668597,2.715145335477941,0.13143382352941177,88.57674360275269,False,0,0,1,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-10-59,1676297459,170.5969111919403,49788,ML-RefVm-847530,10.0.0.13,88.57674360275269,0,1,0.015583515167236328
1,2.146659671091566,1.6535383392782772,0.49724264705882354,86.8815553188324,False,0,0,2,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-12-25,1676297545,257.4784665107727,49788,ML-RefVm-847530,10.0.0.13,175.45829892158508,0,2,0.015583515167236328
2,0.9826165098769992,0.7665994307574104,0.7697610294117647,85.34963464736938,False,0,0,3,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-13-51,1676297631,342.8281011581421,49788,ML-RefVm-847530,10.0.0.13,260.80793356895447,0,3,0.015583515167236328
0,2.9359911703595927,2.923844309414134,0.10110294117647059,67.77134990692139,False,0,0,1,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-15-45,1676297745,410.5994510650635,58663,ML-RefVm-847530,10.0.0.13,67.77134990692139,0,1,0.01232457160949707
1,2.6047517458597818,2.415999875349157,0.18612132352941177,72.71785116195679,False,0,0,2,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-16-57,1676297817,483.31730222702026,58663,ML-RefVm-847530,10.0.0.13,140.48920106887817,0,2,0.01232457160949707
2,1.9234101865805833,1.8269022212308996,0.43704044117647056,70.80235433578491,False,0,0,3,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-18-08,1676297888,554.1196565628052,58663,ML-RefVm-847530,10.0.0.13,211.2915554046631,0,3,0.01232457160949707
3,1.1406351386332045,0.8702934314222897,0.7706801470588235,67.86560440063477,False,0,0,4,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-19-16,1676297956,621.9852609634399,58663,ML-RefVm-847530,10.0.0.13,279.15715980529785,0,4,0.01232457160949707
4,0.5248827513526467,0.6198680085294387,0.8386948529411765,74.00104975700378,False,0,0,5,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-20-30,1676298030,695.9863107204437,58663,ML-RefVm-847530,10.0.0.13,353.15820956230164,0,5,0.01232457160949707
5,0.27734633549755694,0.4410480278379777,0.9007352941176471,74.6021773815155,False,0,0,6,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-21-45,1676298105,770.5884881019592,58663,ML-RefVm-847530,10.0.0.13,427.76038694381714,0,6,0.01232457160949707
6,0.17150207798854977,0.40138549927402944,0.9099264705882353,71.2729001045227,False,0,0,7,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-22-56,1676298176,841.8613882064819,58663,ML-RefVm-847530,10.0.0.13,499.03328704833984,0,7,0.01232457160949707
7,0.17541767233142666,0.3755016204188852,0.9136029411764706,46.74334907531738,False,0,0,8,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-23-43,1676298223,888.6047372817993,58663,ML-RefVm-847530,10.0.0.13,545.7766361236572,0,8,0.01232457160949707
8,0.08485470284872196,0.31731052959666534,0.9287683823529411,48.92557382583618,False,0,0,9,8503d5fa,948d9cbe917b41a995ad1c7faaeef4b6,2023-02-13_14-24-32,1676298272,937.5303111076355,58663,ML-RefVm-847530,10.0.0.13,594.7022099494934,0,9,0.01232457160949707
