iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.880032936731974,2.870858500985538,0.1130514705882353,108.21069765090942,False,,,1,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-03-21,1676297001,108.21069765090942,42759,ML-RefVm-847530,10.0.0.13,108.21069765090942,0,1,0.0043964385986328125
0,2.9085561948664047,2.9536799122305477,0.09834558823529412,109.87721467018127,False,0,0,1,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-11-09,1676297469,218.0879123210907,49786,ML-RefVm-847530,10.0.0.13,109.87721467018127,0,1,0.015260934829711914
1,2.292332277578466,1.8447020404479082,0.37637867647058826,108.36608743667603,False,0,0,2,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-12-57,1676297577,326.4539997577667,49786,ML-RefVm-847530,10.0.0.13,218.2433021068573,0,2,0.015260934829711914
2,1.2805942904715444,0.9900612655807944,0.7325367647058824,87.7081618309021,False,0,0,3,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-14-25,1676297665,414.1621615886688,49786,ML-RefVm-847530,10.0.0.13,305.9514639377594,0,3,0.015260934829711914
0,2.8646328729741715,3.6467474628897274,0.07904411764705882,84.67614603042603,False,0,0,1,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-16-01,1676297761,498.83830761909485,58659,ML-RefVm-847530,10.0.0.13,84.67614603042603,0,1,0.01274251937866211
1,2.550324168859744,2.2943851527045753,0.25505514705882354,84.6868155002594,False,0,0,2,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-17-26,1676297846,583.5251231193542,58659,ML-RefVm-847530,10.0.0.13,169.36296153068542,0,2,0.01274251937866211
2,1.7862151697570203,1.375940063420464,0.5827205882352942,84.5224940776825,False,0,0,3,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-18-50,1676297930,668.0476171970367,58659,ML-RefVm-847530,10.0.0.13,253.88545560836792,0,3,0.01274251937866211
3,0.8876511700013104,0.7712697141310748,0.7858455882352942,75.90652251243591,False,0,0,4,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-20-06,1676298006,743.9541397094727,58659,ML-RefVm-847530,10.0.0.13,329.79197812080383,0,4,0.01274251937866211
4,0.3987360891758227,0.4587700086481431,0.8828125,81.41581344604492,False,0,0,5,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-21-28,1676298088,825.3699531555176,58659,ML-RefVm-847530,10.0.0.13,411.20779156684875,0,5,0.01274251937866211
5,0.3079693843336666,0.3012734160703771,0.9149816176470589,80.73548340797424,False,0,0,6,b3098dfc,24e2c5c5c601479abcfe495469b61fcc,2023-02-13_14-22-48,1676298168,906.1054365634918,58659,ML-RefVm-847530,10.0.0.13,491.943274974823,0,6,0.01274251937866211
