iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.866910322039735,2.849466323852539,0.10799632352941177,94.0434079170227,False,,,1,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-14-49,1676301289,94.0434079170227,84952,ML-RefVm-847530,10.0.0.13,94.0434079170227,0,1,0.006033897399902344
0,2.881463237837249,2.918462066089406,0.06755514705882353,92.96206092834473,False,0,0,1,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-26-03,1676301963,187.00546884536743,93482,ML-RefVm-847530,10.0.0.13,92.96206092834473,0,1,0.014428853988647461
1,2.332381159651513,2.0224045865675984,0.3805147058823529,98.3299126625061,False,0,0,2,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-27-41,1676302061,285.33538150787354,93482,ML-RefVm-847530,10.0.0.13,191.29197359085083,0,2,0.014428853988647461
2,1.260292417862836,0.9273332462591284,0.7683823529411765,103.1253867149353,False,0,0,3,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-29-24,1676302164,388.46076822280884,93482,ML-RefVm-847530,10.0.0.13,294.41736030578613,0,3,0.014428853988647461
0,2.900616215724571,2.885610454222735,0.10753676470588236,76.61016774177551,False,0,0,1,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-34-00,1676302440,465.07093596458435,106041,ML-RefVm-847530,10.0.0.13,76.61016774177551,0,1,0.014014482498168945
1,2.399763027826945,2.0220976366716275,0.27849264705882354,79.6212956905365,False,0,0,2,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-35-19,1676302519,544.6922316551208,106041,ML-RefVm-847530,10.0.0.13,156.231463432312,0,2,0.014014482498168945
2,1.3882647133341022,1.0935355670311873,0.7100183823529411,74.5271348953247,False,0,0,3,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-36-34,1676302594,619.2193665504456,106041,ML-RefVm-847530,10.0.0.13,230.75859832763672,0,3,0.014014482498168945
3,0.6429064893255046,0.6088986326666439,0.8400735294117647,78.57593774795532,False,0,0,4,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-37-52,1676302672,697.7953042984009,106041,ML-RefVm-847530,10.0.0.13,309.33453607559204,0,4,0.014014482498168945
4,0.3603481147803512,0.4486750644796035,0.8777573529411765,74.33251118659973,False,0,0,5,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-39-07,1676302747,772.1278154850006,106041,ML-RefVm-847530,10.0.0.13,383.6670472621918,0,5,0.014014482498168945
5,0.18496651509228876,0.3189332993591533,0.9195772058823529,82.79766178131104,False,0,0,6,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-40-30,1676302830,854.9254772663116,106041,ML-RefVm-847530,10.0.0.13,466.4647090435028,0,6,0.014014482498168945
6,0.12347843519905034,0.28872018066399235,0.9287683823529411,73.24662375450134,False,0,0,7,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-41-43,1676302903,928.172101020813,106041,ML-RefVm-847530,10.0.0.13,539.7113327980042,0,7,0.014014482498168945
7,0.07438679762622889,0.24558698692742517,0.9365808823529411,74.64382529258728,False,0,0,8,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-42-57,1676302977,1002.8159263134003,106041,ML-RefVm-847530,10.0.0.13,614.3551580905914,0,8,0.014014482498168945
8,0.10814293773443091,0.31133563553585725,0.9232536764705882,69.23451161384583,False,0,0,9,0e6a30a0,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-44-07,1676303047,1072.050437927246,106041,ML-RefVm-847530,10.0.0.13,683.5896697044373,0,9,0.014014482498168945
