iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8526616704230214,2.872828385409187,0.08088235294117647,124.79752993583679,False,,,1,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-12-04,1676301124,124.79752993583679,84952,ML-RefVm-847530,10.0.0.13,124.79752993583679,0,1,0.006033897399902344
0,2.926328271043067,3.016187541625079,0.0661764705882353,118.33270621299744,False,0,0,1,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-20-59,1676301659,243.13023614883423,93480,ML-RefVm-847530,10.0.0.13,118.33270621299744,0,1,0.014988183975219727
1,2.4604118197571996,1.988403418484856,0.36856617647058826,117.82778215408325,False,0,0,2,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-22-56,1676301776,360.9580183029175,93480,ML-RefVm-847530,10.0.0.13,236.1604883670807,0,2,0.014988183975219727
2,1.464948532628078,1.0108645312926348,0.7329963235294118,116.94413232803345,False,0,0,3,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-24-53,1676301893,477.9021506309509,93480,ML-RefVm-847530,10.0.0.13,353.10462069511414,0,3,0.014988183975219727
0,2.924918357063742,2.9355618532966163,0.078125,94.98661494255066,False,0,0,1,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-34-13,1676302453,572.8887655735016,93518,ML-RefVm-847530,10.0.0.13,94.98661494255066,0,1,0.01245570182800293
1,2.5574791922288784,2.0222171545028687,0.37683823529411764,105.24457287788391,False,0,0,2,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-35-58,1676302558,678.1333384513855,93518,ML-RefVm-847530,10.0.0.13,200.23118782043457,0,2,0.01245570182800293
2,1.2833335516499538,0.9461544226197636,0.7256433823529411,84.46550965309143,False,0,0,3,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-37-22,1676302642,762.5988481044769,93518,ML-RefVm-847530,10.0.0.13,284.696697473526,0,3,0.01245570182800293
3,0.5492543619053036,0.5010860334424412,0.8644301470588235,96.22089958190918,False,0,0,4,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-38-59,1676302739,858.8197476863861,93518,ML-RefVm-847530,10.0.0.13,380.9175970554352,0,4,0.01245570182800293
4,0.36392396630025375,0.40846819386762734,0.8846507352941176,85.04115772247314,False,0,0,5,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-40-24,1676302824,943.8609054088593,93518,ML-RefVm-847530,10.0.0.13,465.9587547779083,0,5,0.01245570182800293
5,0.14859234797311763,0.31636414370116067,0.9154411764705882,93.10253572463989,False,0,0,6,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-41-57,1676302917,1036.9634411334991,93518,ML-RefVm-847530,10.0.0.13,559.0612905025482,0,6,0.01245570182800293
6,0.08606598329018145,0.30796757252777324,0.9126838235294118,93.57696795463562,False,0,0,7,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-43-30,1676303010,1130.5404090881348,93518,ML-RefVm-847530,10.0.0.13,652.6382584571838,0,7,0.01245570182800293
7,0.08398467061274192,0.2926057217752232,0.9209558823529411,78.21875286102295,False,0,0,8,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-44-49,1676303089,1208.7591619491577,93518,ML-RefVm-847530,10.0.0.13,730.8570113182068,0,8,0.01245570182800293
8,0.0382892373200579,0.2181317687911146,0.9393382352941176,62.05798006057739,True,0,0,9,65b5bb75,905422facf4e4e6fa34569c58e91cf32,2023-02-13_15-45-51,1676303151,1270.817142009735,93518,ML-RefVm-847530,10.0.0.13,792.9149913787842,0,9,0.01245570182800293
