iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8886087127760347,2.8164487446055695,0.08869485294117647,73.0636351108551,False,,,1,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-40-27,1676306427,73.0636351108551,139523,ML-RefVm-847530,10.0.0.13,73.0636351108551,0,1,0.0070149898529052734
0,2.8995450431225347,2.9550443116356346,0.0625,86.8895616531372,False,0,0,1,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-48-16,1676306896,159.9531967639923,146411,ML-RefVm-847530,10.0.0.13,86.8895616531372,0,1,0.012931585311889648
1,2.2817598931929646,1.7396887751186596,0.4329044117647059,74.76905107498169,False,0,0,2,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-49-31,1676306971,234.722247838974,146411,ML-RefVm-847530,10.0.0.13,161.6586127281189,0,2,0.012931585311889648
2,1.4044457533780266,1.1064514202230118,0.6865808823529411,50.19856882095337,False,0,0,3,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-50-21,1676307021,284.92081665992737,146411,ML-RefVm-847530,10.0.0.13,211.85718154907227,0,3,0.012931585311889648
0,2.9187929770525765,2.9875173989464257,0.0822610294117647,67.52741265296936,False,0,0,1,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-53-05,1676307185,352.44822931289673,156329,ML-RefVm-847530,10.0.0.13,67.52741265296936,0,1,0.013319015502929688
1,2.593527691037047,2.3081412455614876,0.17647058823529413,64.99125289916992,False,0,0,2,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-54-10,1676307250,417.43948221206665,156329,ML-RefVm-847530,10.0.0.13,132.51866555213928,0,2,0.013319015502929688
2,1.6500269244698917,1.3406636048765743,0.5689338235294118,66.77346158027649,False,0,0,3,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-55-17,1676307317,484.21294379234314,156329,ML-RefVm-847530,10.0.0.13,199.29212713241577,0,3,0.013319015502929688
3,0.7976371108316908,0.7434325428570018,0.7863051470588235,60.234025716781616,False,0,0,4,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-56-17,1676307377,544.4469695091248,156329,ML-RefVm-847530,10.0.0.13,259.5261528491974,0,4,0.013319015502929688
4,0.3685895803512311,0.5922334246775683,0.8432904411764706,68.04797625541687,False,0,0,5,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-57-25,1676307445,612.4949457645416,156329,ML-RefVm-847530,10.0.0.13,327.57412910461426,0,5,0.013319015502929688
5,0.2113691384301466,0.529198450200698,0.8800551470588235,64.91127324104309,False,0,0,6,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-58-30,1676307510,677.4062190055847,156329,ML-RefVm-847530,10.0.0.13,392.48540234565735,0,6,0.013319015502929688
6,0.11791440640010085,0.48874950934858885,0.8998161764705882,72.69079875946045,False,0,0,7,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_16-59-42,1676307582,750.0970177650452,156329,ML-RefVm-847530,10.0.0.13,465.1762011051178,0,7,0.013319015502929688
7,0.08505690028416175,0.3456312566995621,0.9283088235294118,74.27893161773682,False,0,0,8,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_17-00-57,1676307657,824.375949382782,156329,ML-RefVm-847530,10.0.0.13,539.4551327228546,0,8,0.013319015502929688
8,0.07365976157141667,0.33618517482981963,0.9237132352941176,71.37290072441101,False,0,0,9,4b1f0ab2,21d57f546ac740f5822a21efd206f5ac,2023-02-13_17-02-08,1676307728,895.748850107193,156329,ML-RefVm-847530,10.0.0.13,610.8280334472656,0,9,0.013319015502929688
