iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8809466689240697,2.627852762446684,0.10018382352941177,129.93423199653625,False,,,1,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-36-16,1676306176,129.93423199653625,139526,ML-RefVm-847530,10.0.0.13,129.93423199653625,0,1,0.005007266998291016
0,2.8715690164005054,2.880562698139864,0.09834558823529412,130.20438718795776,False,0,0,1,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-42-43,1676306563,260.138619184494,146411,ML-RefVm-847530,10.0.0.13,130.20438718795776,0,1,0.012931585311889648
1,2.177175346542807,1.9577294377719654,0.33409926470588236,121.51287794113159,False,0,0,2,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-44-45,1676306685,381.6514971256256,146411,ML-RefVm-847530,10.0.0.13,251.71726512908936,0,2,0.012931585311889648
2,1.284623431224449,1.1292933155508602,0.7017463235294118,124.02670764923096,False,0,0,3,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-46-49,1676306809,505.67820477485657,146411,ML-RefVm-847530,10.0.0.13,375.7439727783203,0,3,0.012931585311889648
0,2.8519815370148303,2.5691455252030315,0.10018382352941177,109.67985677719116,False,0,0,1,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-53-46,1676307226,615.3580615520477,156326,ML-RefVm-847530,10.0.0.13,109.67985677719116,0,1,0.009874343872070312
1,2.352745310932982,1.9095524759853588,0.32858455882352944,96.83219504356384,False,0,0,2,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-55-22,1676307322,712.1902565956116,156326,ML-RefVm-847530,10.0.0.13,206.512051820755,0,2,0.009874343872070312
2,1.4360150916903627,1.1205902239855599,0.6760110294117647,99.03687930107117,False,0,0,3,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-57-01,1676307421,811.2271358966827,156326,ML-RefVm-847530,10.0.0.13,305.5489311218262,0,3,0.009874343872070312
3,0.7324215249688018,0.6067256436628454,0.8469669117647058,107.26067066192627,False,0,0,4,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_16-58-49,1676307529,918.487806558609,156326,ML-RefVm-847530,10.0.0.13,412.80960178375244,0,4,0.009874343872070312
4,0.3162885880937763,0.5383115375743193,0.8625919117647058,96.67706871032715,False,0,0,5,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_17-00-25,1676307625,1015.1648752689362,156326,ML-RefVm-847530,10.0.0.13,509.4866704940796,0,5,0.009874343872070312
5,0.2878865541196337,0.3968988306382123,0.8975183823529411,96.89123725891113,False,0,0,6,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_17-02-02,1676307722,1112.0561125278473,156326,ML-RefVm-847530,10.0.0.13,606.3779077529907,0,6,0.009874343872070312
6,0.14995619808049762,0.33080725108875947,0.9209558823529411,72.84026312828064,False,0,0,7,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_17-03-15,1676307795,1184.896375656128,156326,ML-RefVm-847530,10.0.0.13,679.2181708812714,0,7,0.009874343872070312
7,0.10688611623995445,0.33961333334445953,0.9255514705882353,75.64848494529724,False,0,0,8,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_17-04-31,1676307871,1260.5448606014252,156326,ML-RefVm-847530,10.0.0.13,754.8666558265686,0,8,0.009874343872070312
8,0.09467400566619985,0.33496024021331,0.9200367647058824,73.19416213035583,True,0,0,9,4d2f759a,c309c9b8b4b54af597fbc0860297a0fe,2023-02-13_17-05-44,1676307944,1333.739022731781,156326,ML-RefVm-847530,10.0.0.13,828.0608179569244,0,9,0.009874343872070312
