iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.7713065708384796,2.553911615820492,0.19761029411764705,77.10872387886047,False,,,1,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-25-47,1676327147,77.10872387886047,20858,ML-RefVm-847530,10.0.0.13,77.10872387886047,0,1,0.006505489349365234
0,2.929712931315104,2.93025084102855,0.07261029411764706,77.15421652793884,False,0,0,1,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-31-05,1676327465,154.26294040679932,25956,ML-RefVm-847530,10.0.0.13,77.15421652793884,0,1,0.010286092758178711
1,2.3993831872940063,2.0015175412682926,0.36443014705882354,74.78586149215698,False,0,0,2,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-32-20,1676327540,229.0488018989563,25956,ML-RefVm-847530,10.0.0.13,151.94007802009583,0,2,0.010286092758178711
2,1.35960619356118,0.9842021149747512,0.7123161764705882,52.78417754173279,False,0,0,3,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-33-13,1676327593,281.8329794406891,25956,ML-RefVm-847530,10.0.0.13,204.7242555618286,0,3,0.010286092758178711
0,2.916138289021511,2.917649241054759,0.09604779411764706,63.83672046661377,False,0,0,1,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-35-21,1676327721,345.66969990730286,32496,ML-RefVm-847530,10.0.0.13,63.83672046661377,0,1,0.012710809707641602
1,2.3450893350675996,1.6825333342832678,0.4733455882352941,57.78194069862366,False,0,0,2,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-36-19,1676327779,403.4516406059265,32496,ML-RefVm-847530,10.0.0.13,121.61866116523743,0,2,0.012710809707641602
2,1.0563963920462365,0.7684732640490812,0.7628676470588235,66.30518054962158,False,0,0,3,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-37-25,1676327845,469.7568211555481,32496,ML-RefVm-847530,10.0.0.13,187.923841714859,0,3,0.012710809707641602
3,0.4517432483387928,0.44307815327363853,0.8763786764705882,58.084107398986816,False,0,0,4,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-38-23,1676327903,527.8409285545349,32496,ML-RefVm-847530,10.0.0.13,246.00794911384583,0,4,0.012710809707641602
4,0.27137312322270635,0.4411319424124325,0.8727022058823529,55.651355266571045,False,0,0,5,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-39-19,1676327959,583.492283821106,32496,ML-RefVm-847530,10.0.0.13,301.65930438041687,0,5,0.012710809707641602
5,0.1553856714391241,0.25857770355308757,0.9292279411764706,42.7352192401886,False,0,0,6,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-40-02,1676328002,626.2275030612946,32496,ML-RefVm-847530,10.0.0.13,344.39452362060547,0,6,0.012710809707641602
6,0.07631928126747702,0.36766524612903595,0.8965992647058824,43.6647846698761,False,0,0,7,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-40-45,1676328045,669.8922877311707,32496,ML-RefVm-847530,10.0.0.13,388.05930829048157,0,7,0.012710809707641602
7,0.0672878580277457,0.34543216097004276,0.9145220588235294,41.245044231414795,False,0,0,8,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-41-27,1676328087,711.1373319625854,32496,ML-RefVm-847530,10.0.0.13,429.30435252189636,0,8,0.012710809707641602
8,0.03321299496490289,0.25055724864496903,0.9407169117647058,41.80523157119751,False,0,0,9,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-42-09,1676328129,752.942563533783,32496,ML-RefVm-847530,10.0.0.13,471.1095840930939,0,9,0.012710809707641602
9,0.03117891745276603,0.2691131212255534,0.9434742647058824,42.38262748718262,False,0,0,10,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-42-51,1676328171,795.3251910209656,32496,ML-RefVm-847530,10.0.0.13,513.4922115802765,0,10,0.012710809707641602
10,0.035367419340592975,0.24259188420632305,0.9434742647058824,41.94237971305847,False,0,0,11,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-43-33,1676328213,837.267570734024,32496,ML-RefVm-847530,10.0.0.13,555.434591293335,0,11,0.012710809707641602
11,0.024568238186047357,0.25345317055197325,0.9416360294117647,41.27073121070862,False,0,0,12,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-44-14,1676328254,878.5383019447327,32496,ML-RefVm-847530,10.0.0.13,596.7053225040436,0,12,0.012710809707641602
12,0.036278511488846706,0.23124120077666113,0.9471507352941176,41.493192195892334,False,0,0,13,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-44-56,1676328296,920.031494140625,32496,ML-RefVm-847530,10.0.0.13,638.1985146999359,0,13,0.012710809707641602
13,0.0248947740788115,0.20573635881437974,0.9522058823529411,41.289308309555054,False,0,0,14,277ab605,fad1957a94344c5e97ffc7ac6c62bb1d,2023-02-13_22-45-37,1676328337,961.32080245018,32496,ML-RefVm-847530,10.0.0.13,679.487823009491,0,14,0.012710809707641602
