iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8530558745066323,2.6182797936832203,0.0978860294117647,63.57553958892822,False,,,1,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-23-56,1676327036,63.57553958892822,20859,ML-RefVm-847530,10.0.0.13,63.57553958892822,0,1,0.0053250789642333984
0,2.863181296516867,2.631662130355835,0.09375,58.004496574401855,False,0,0,1,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-28-44,1676327324,121.58003616333008,20858,ML-RefVm-847530,10.0.0.13,58.004496574401855,0,1,0.006505489349365234
1,2.296974310687944,1.857870242174934,0.4241727941176471,57.892455101013184,False,0,0,2,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-29-42,1676327382,179.47249126434326,20858,ML-RefVm-847530,10.0.0.13,115.89695167541504,0,2,0.006505489349365234
2,1.2533278757450628,1.0641687442274654,0.6723345588235294,57.62325978279114,False,0,0,3,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-30-40,1676327440,237.0957510471344,20858,ML-RefVm-847530,10.0.0.13,173.52021145820618,0,3,0.006505489349365234
0,2.8634453380809113,2.829380708582261,0.125,47.81699252128601,False,0,0,1,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-35-01,1676327701,284.9127435684204,25958,ML-RefVm-847530,10.0.0.13,47.81699252128601,0,1,0.011350870132446289
1,2.289015578288658,1.9742207527160645,0.32215073529411764,46.49060606956482,False,0,0,2,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-35-48,1676327748,331.40334963798523,25958,ML-RefVm-847530,10.0.0.13,94.30759859085083,0,2,0.011350870132446289
2,1.3343085821937113,1.3417803119210636,0.6148897058823529,46.31152868270874,False,0,0,3,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-36-34,1676327794,377.71487832069397,25958,ML-RefVm-847530,10.0.0.13,140.61912727355957,0,3,0.011350870132446289
3,0.8040336884704291,1.3919086806914385,0.6893382352941176,44.426552295684814,False,0,0,4,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-37-18,1676327838,422.1414306163788,25958,ML-RefVm-847530,10.0.0.13,185.04567956924438,0,4,0.011350870132446289
4,0.5143524811548346,0.7699101058875814,0.8023897058823529,42.03225755691528,False,0,0,5,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-38-00,1676327880,464.17368817329407,25958,ML-RefVm-847530,10.0.0.13,227.07793712615967,0,5,0.011350870132446289
5,0.3273359166056502,0.543781084172866,0.859375,49.44119071960449,False,0,0,6,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-38-50,1676327930,513.6148788928986,25958,ML-RefVm-847530,10.0.0.13,276.51912784576416,0,6,0.011350870132446289
6,0.22962538824946271,0.4021916766377056,0.8970588235294118,39.27156114578247,False,0,0,7,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-39-29,1676327969,552.886440038681,25958,ML-RefVm-847530,10.0.0.13,315.79068899154663,0,7,0.011350870132446289
7,0.1427780699496176,0.4262370773974587,0.9039522058823529,33.579739570617676,False,0,0,8,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-40-03,1676328003,586.4661796092987,25958,ML-RefVm-847530,10.0.0.13,349.3704285621643,0,8,0.011350870132446289
8,0.11877107678675185,0.4454783569363987,0.8965992647058824,34.05227327346802,False,0,0,9,42030f61,4b034d2674b446ccb86ba8d6610b3372,2023-02-13_22-40-37,1676328037,620.5184528827667,25958,ML-RefVm-847530,10.0.0.13,383.4227018356323,0,9,0.011350870132446289
