iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8980913956960044,2.82976697472965,0.12178308823529412,44.42547607421875,False,,,1,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-24-41,1676327081,44.42547607421875,20778,ML-RefVm-847530,10.0.0.13,44.42547607421875,0,1,0.003731250762939453
0,2.913333864773021,2.8922205251805924,0.09926470588235294,42.646053314208984,False,0,0,1,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-28-34,1676327314,87.07152938842773,25978,ML-RefVm-847530,10.0.0.13,42.646053314208984,0,1,0.012978076934814453
1,2.5378128781038174,2.158323750776403,0.26700367647058826,40.26258897781372,False,0,0,2,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-29-14,1676327354,127.33411836624146,25978,ML-RefVm-847530,10.0.0.13,82.9086422920227,0,2,0.012978076934814453
2,1.5854440647013046,1.2074443452498491,0.6704963235294118,40.94041204452515,False,0,0,3,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-29-55,1676327395,168.2745304107666,25978,ML-RefVm-847530,10.0.0.13,123.84905433654785,0,3,0.012978076934814453
0,2.876763479382384,2.6758225945865406,0.109375,32.30457615852356,False,0,0,1,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-34-49,1676327689,200.57910656929016,32492,ML-RefVm-847530,10.0.0.13,32.30457615852356,0,1,0.009059429168701172
1,2.1934824901468613,1.987170752357034,0.3474264705882353,34.135749101638794,False,0,0,2,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-35-23,1676327723,234.71485567092896,32492,ML-RefVm-847530,10.0.0.13,66.44032526016235,0,2,0.009059429168701172
2,1.3540673676659079,1.1414062801529379,0.7012867647058824,33.89629530906677,False,0,0,3,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-35-57,1676327757,268.6111509799957,32492,ML-RefVm-847530,10.0.0.13,100.33662056922913,0,3,0.009059429168701172
3,0.7232734864833308,0.7589357495307922,0.8212316176470589,32.34119749069214,False,0,0,4,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-36-30,1676327790,300.95234847068787,32492,ML-RefVm-847530,10.0.0.13,132.67781805992126,0,4,0.009059429168701172
4,0.40481561831399504,0.5105233052197624,0.8685661764705882,28.66451930999756,False,0,0,5,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-36-58,1676327818,329.6168677806854,32492,ML-RefVm-847530,10.0.0.13,161.34233736991882,0,5,0.009059429168701172
5,0.28350336791253555,0.5418431250488057,0.8874080882352942,32.68692874908447,False,0,0,6,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-37-31,1676327851,362.3037965297699,32492,ML-RefVm-847530,10.0.0.13,194.0292661190033,0,6,0.009059429168701172
6,0.25743503152739766,0.4020441937095979,0.9172794117647058,37.317519664764404,False,0,0,7,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-38-08,1676327888,399.6213161945343,32492,ML-RefVm-847530,10.0.0.13,231.3467857837677,0,7,0.009059429168701172
7,0.10372172778143603,0.3749552597017849,0.9237132352941176,30.936999082565308,False,0,0,8,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-38-39,1676327919,430.5583152770996,32492,ML-RefVm-847530,10.0.0.13,262.283784866333,0,8,0.009059429168701172
8,0.08935560158216486,0.3757359981536865,0.9209558823529411,34.51020836830139,False,0,0,9,9db4899e,9fe49f3da242407db32d02667f9031ca,2023-02-13_22-39-14,1676327954,465.068523645401,32492,ML-RefVm-847530,10.0.0.13,296.7939932346344,0,9,0.009059429168701172
