iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.812898883632585,2.637826316496905,0.09558823529411764,70.51787114143372,False,,,1,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-05-23,1676333123,70.51787114143372,74715,ML-RefVm-847530,10.0.0.13,70.51787114143372,0,1,0.006652116775512695
0,2.88942907370773,2.8460910460528206,0.10202205882352941,92.08254337310791,False,0,0,1,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-11-57,1676333517,162.60041451454163,79877,ML-RefVm-847530,10.0.0.13,92.08254337310791,0,1,0.012958049774169922
1,2.3606755452997543,2.0565254477893604,0.3079044117647059,78.16697597503662,False,0,0,2,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-13-16,1676333596,240.76739048957825,79877,ML-RefVm-847530,10.0.0.13,170.24951934814453,0,2,0.012958049774169922
2,1.438839242738836,1.0646222584387834,0.6792279411764706,58.276155948638916,False,0,0,3,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-14-14,1676333654,299.04354643821716,79877,ML-RefVm-847530,10.0.0.13,228.52567529678345,0,3,0.012958049774169922
0,2.841063144160252,2.6271528075723087,0.12362132352941177,73.49679803848267,False,0,0,1,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-16-12,1676333772,372.54034447669983,88594,ML-RefVm-847530,10.0.0.13,73.49679803848267,0,1,0.014225244522094727
1,2.1687226435717415,1.8812196394976448,0.4287683823529412,74.90004277229309,False,0,0,2,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-17-27,1676333847,447.4403872489929,88594,ML-RefVm-847530,10.0.0.13,148.39684081077576,0,2,0.014225244522094727
2,1.119442361242631,1.0308379145229565,0.7210477941176471,73.57249903678894,False,0,0,3,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-18-40,1676333920,521.0128862857819,88594,ML-RefVm-847530,10.0.0.13,221.9693398475647,0,3,0.014225244522094727
3,0.5032340568654677,0.7004473279504215,0.8074448529411765,71.22988390922546,False,0,0,4,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-19-51,1676333991,592.2427701950073,88594,ML-RefVm-847530,10.0.0.13,293.19922375679016,0,4,0.014225244522094727
4,0.3433196421931772,0.7243174559929791,0.8212316176470589,64.20647835731506,False,0,0,5,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-20-56,1676334056,656.4492485523224,88594,ML-RefVm-847530,10.0.0.13,357.4057021141052,0,5,0.014225244522094727
5,0.19750788617952197,0.33363106846809387,0.9113051470588235,51.640573501586914,False,0,0,6,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-21-47,1676334107,708.0898220539093,88594,ML-RefVm-847530,10.0.0.13,409.04627561569214,0,6,0.014225244522094727
6,0.12551986126630915,0.43787191808223724,0.8938419117647058,50.39723515510559,False,0,0,7,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-22-38,1676334158,758.4870572090149,88594,ML-RefVm-847530,10.0.0.13,459.44351077079773,0,7,0.014225244522094727
7,0.13619590338830853,0.28304924903547063,0.9278492647058824,49.787086486816406,False,0,0,8,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-23-27,1676334207,808.2741436958313,88594,ML-RefVm-847530,10.0.0.13,509.23059725761414,0,8,0.014225244522094727
8,0.06021970948752235,0.31804559160681334,0.9306066176470589,48.63993048667908,True,0,0,9,11b2fcce,a269ca2970874da08c267d6c17604c91,2023-02-14_00-24-16,1676334256,856.9140741825104,88594,ML-RefVm-847530,10.0.0.13,557.8705277442932,0,9,0.014225244522094727
