iterations,train_loss,test_loss,Accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time
0,2.8422626981548236,2.516628321479349,0.1323529411764706,57.43944501876831,False,,,1,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-05-24,1676333124,57.43944501876831,74717,ML-RefVm-847530,10.0.0.13,57.43944501876831,0,1,0.004143476486206055
0,2.88589622927647,2.6745108015397014,0.11397058823529412,68.58113646507263,False,0,0,1,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-13-29,1676333609,126.02058148384094,79893,ML-RefVm-847530,10.0.0.13,68.58113646507263,0,1,0.009025335311889648
1,2.1314822715871475,1.7955016178243302,0.4485294117647059,44.48078632354736,False,0,0,2,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-14-13,1676333653,170.5013678073883,79893,ML-RefVm-847530,10.0.0.13,113.06192278862,0,2,0.009025335311889648
2,1.1671055765712963,0.9994053209529203,0.7022058823529411,40.383230447769165,False,0,0,3,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-14-54,1676333694,210.88459825515747,79893,ML-RefVm-847530,10.0.0.13,153.44515323638916,0,3,0.009025335311889648
3,0.5020456331617692,0.6697694887133205,0.8005514705882353,56.0393168926239,False,0,0,4,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-15-50,1676333750,266.9239151477814,79893,ML-RefVm-847530,10.0.0.13,209.48447012901306,0,4,0.009025335311889648
4,0.3469633573994917,0.3588450480909908,0.8998161764705882,58.38082790374756,False,0,0,5,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-16-48,1676333808,325.30474305152893,79893,ML-RefVm-847530,10.0.0.13,267.8652980327606,0,5,0.009025335311889648
5,0.15068957545593673,0.25809405919383555,0.9306066176470589,61.217291831970215,False,0,0,6,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-17-49,1676333869,386.52203488349915,79893,ML-RefVm-847530,10.0.0.13,329.08258986473083,0,6,0.009025335311889648
6,0.0773054915023785,0.30264827083138857,0.9278492647058824,55.210453748703,False,0,0,7,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-18-45,1676333925,441.73248863220215,79893,ML-RefVm-847530,10.0.0.13,384.29304361343384,0,7,0.009025335311889648
7,0.05141258044350965,0.20670154603088603,0.9453125,57.722580909729004,False,0,0,8,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-19-42,1676333982,499.45506954193115,79893,ML-RefVm-847530,10.0.0.13,442.01562452316284,0,8,0.009025335311889648
8,0.04271555041857794,0.1881341386367293,0.9540441176470589,56.66087102890015,False,0,0,9,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-20-39,1676334039,556.1159405708313,79893,ML-RefVm-847530,10.0.0.13,498.676495552063,0,9,0.009025335311889648
0,2.8970642276838716,2.9866475918713737,0.10845588235294118,38.8434100151062,False,0,0,1,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-24-55,1676334295,594.9593505859375,79876,ML-RefVm-847530,10.0.0.13,38.8434100151062,0,1,0.012654304504394531
1,2.3687526081122603,2.032938641660354,0.2899816176470588,37.03537631034851,False,0,0,2,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-25-32,1676334332,631.994726896286,79876,ML-RefVm-847530,10.0.0.13,75.87878632545471,0,2,0.012654304504394531
2,1.5369070394366395,1.1447119432337143,0.6649816176470589,37.16065788269043,False,0,0,3,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-26-09,1676334369,669.1553847789764,79876,ML-RefVm-847530,10.0.0.13,113.03944420814514,0,3,0.012654304504394531
3,0.7422960663543028,0.7479717275675606,0.8221507352941176,37.12001061439514,False,0,0,4,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-26-46,1676334406,706.2753953933716,79876,ML-RefVm-847530,10.0.0.13,150.15945482254028,0,4,0.012654304504394531
4,0.46617650255268694,0.4796144103302675,0.8556985294117647,36.71612286567688,False,0,0,5,7f0d794c,b9199fdbde5645b5944c8f32dd41d888,2023-02-14_00-27-23,1676334443,742.9915182590485,79876,ML-RefVm-847530,10.0.0.13,186.87557768821716,0,5,0.012654304504394531
